company,rank,symbol,ytd_return
"Robinhood Markets, Inc.",1,HOOD,262.18
Western Digital,2,WDC,151.00
Seagate Technology,3,STX,145.20
Newmont,4,NEM,143.26
Palantir Technologies,5,PLTR,137.66
Micron Technology,6,MU,122.27
GE Vernova,7,GEV,95.91
Lam Research,8,LRCX,91.49
NRG Energy,9,NRG,83.56
AppLovin Corporation,10,APP,82.20
Advanced Micro Devices,11,AMD,80.55
GE Aerospace,12,GE,79.91
Oracle Corporation,13,ORCL,79.43
Corning Inc.,14,GLW,78.05
"Tapestry, Inc.",15,TPR,77.96
Intel,16,INTC,77.71
CVS Health,17,CVS,77.46
Amphenol,18,APH,76.59
Howmet Aerospace,19,HWM,76.49
Supermicro,20,SMCI,74.25
Constellation Energy,21,CEG,74.14
Warner Bros. Discovery,22,WBD,70.10
Paramount Skydance Corp,23,PSKY,65.30
Monolithic Power Systems,24,MPWR,63.64
KLA Corporation,25,KLAC,62.78
DoorDash,26,DASH,61.28
Interactive Brokers Group,27,IBKR,57.04
Uber,28,UBER,56.25
Huntington Ingalls Industries,29,HII,54.49
TE Connectivity,30,TEL,54.33
Idexx Laboratories,31,IDXX,54.05
Vistra Corp.,32,VST,49.06
"EMCOR Group, Inc.",33,EME,48.52
Broadcom,34,AVGO,48.43
eBay,35,EBAY,46.99
Caterpillar Inc.,36,CAT,45.40
CrowdStrike,37,CRWD,42.90
L3Harris,38,LHX,42.66
United Rentals,39,URI,42.03
Citigroup,40,C,41.84
Cencora,41,COR,41.50
Take-Two Interactive,42,TTWO,40.00
BNY Mellon,43,BK,39.41
HCA Healthcare,44,HCA,39.40
Jabil,45,JBL,39.40
RTX Corporation,46,RTX,37.75
Ralph Lauren Corporation,47,RL,37.64
Coinbase Global,48,COIN,37.56
McKesson Corporation,49,MCK,37.20
Electronic Arts,50,EA,36.84
Aptiv,51,APTV,36.79
Dollar General,52,DG,36.78
Johnson Controls,53,JCI,36.64
Quanta Services,54,PWR,36.56
"F5, Inc.",55,FFIV,36.47
Netflix,56,NFLX,36.35
Royal Caribbean Group,57,RCL,36.05
Wynn Resorts,58,WYNN,34.76
Goldman Sachs,59,GS,34.60
Allegion,60,ALLE,34.37
Welltower,61,WELL,34.36
Applied Materials,62,AMAT,34.16
Invesco,63,IVZ,34.15
W. R. Berkley Corporation,64,WRB,34.07
Nvidia,65,NVDA,34.06
TKO Group Holdings,66,TKO,33.68
Northrop Grumman,67,NOC,33.59
Valero Energy,68,VLO,32.30
Philip Morris International,69,PM,32.17
Johnson & Johnson,70,JNJ,31.97
Marathon Petroleum,71,MPC,31.27
Hasbro,72,HAS,30.82
Monster Beverage,73,MNST,30.54
Cardinal Health,74,CAH,30.37
O'Reilly Auto Parts,75,ORLY,30.36
Leidos,76,LDOS,29.99
Alphabet Inc. (Class A),77,GOOGL,29.66
Alphabet Inc. (Class C),78,GOOG,29.27
Dell Technologies,79,DELL,29.10
AbbVie,80,ABBV,28.94
Steel Dynamics,81,STLD,28.85
American Electric Power,82,AEP,28.35
